Records from input file (district: CACHAR) not found in Cachar data file (D:\Early Warning System\CACHAR_SONAI_student_data.csv) using either 'unique_student_identifier' or 'uuid', and not exempted by Class-XII/Promoted or Dropout status:

Original Input Excel Row Index: 36991, unique_student_identifier: '18210705505170008', uuid: '490586954625.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36992, unique_student_identifier: '18210705505170010', uuid: '779247192460.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36993, unique_student_identifier: '18210705505170011', uuid: '587023793335.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36994, unique_student_identifier: '18210705505170012', uuid: '80104159265.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 36995, unique_student_identifier: '18210705505170014', uuid: '742658667958.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37000, unique_student_identifier: '18210711401170028', uuid: '783375522851.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37005, unique_student_identifier: '18210703402170032', uuid: '668793139670.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37009, unique_student_identifier: '18210505701170151', uuid: '676912060637.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37013, unique_student_identifier: '18210505701170162', uuid: '726965331218.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37014, unique_student_identifier: '18210505702170025', uuid: '557931917307.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37015, unique_student_identifier: '18210505702170027', uuid: '259203008617.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37016, unique_student_identifier: '18210505702170046', uuid: '812072822649.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37018, unique_student_identifier: '18210505702170049', uuid: '38397812320.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37019, unique_student_identifier: '18210505702170050', uuid: '976492486872.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37020, unique_student_identifier: '18210505702170053', uuid: '163234791870.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37021, unique_student_identifier: '18210505702170057', uuid: '717991927376.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37022, unique_student_identifier: '18210505702170058', uuid: '678749248086.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37023, unique_student_identifier: '18210505702170062', uuid: '890428829836.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37025, unique_student_identifier: '18210714305170191', uuid: '859787818845.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37026, unique_student_identifier: '18210714305170196', uuid: '588040080469.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37028, unique_student_identifier: '18210708506170007', uuid: '524833114375.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37029, unique_student_identifier: '18210707701170015', uuid: '30647971695.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37033, unique_student_identifier: '18210705302170007', uuid: '203811031956.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37035, unique_student_identifier: '18210712901170033', uuid: '25413571880.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37038, unique_student_identifier: '18210703701170006', uuid: '38007450325.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37043, unique_student_identifier: '18210711601170008', uuid: '205539061879.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37044, unique_student_identifier: '18210711601170010', uuid: '370277431207.0'. Details - Input Class: '3', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37050, unique_student_identifier: '18210716501170038', uuid: '733212340374.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37055, unique_student_identifier: '18210708204170005', uuid: '50902956212.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37056, unique_student_identifier: '18210708204170006', uuid: '924587115575.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37060, unique_student_identifier: '18210716901170024', uuid: '517328216244.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37061, unique_student_identifier: '18210716501170054', uuid: '29075543423.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37063, unique_student_identifier: '18210716501170066', uuid: '335017304248.0'. Details - Input Class: '10', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37068, unique_student_identifier: '18210706104170025', uuid: '222663457712.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37077, unique_student_identifier: '18210216001170024', uuid: '447639556087.0'. Details - Input Class: '11', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37085, unique_student_identifier: '18210712502170054', uuid: '940341464188.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37089, unique_student_identifier: '18210702603170006', uuid: '961217447147.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37091, unique_student_identifier: '18210704503170074', uuid: '922386279257.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37093, unique_student_identifier: '18210704502170072', uuid: '183906509712.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37106, unique_student_identifier: '18210704502170095', uuid: '298295509347.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37108, unique_student_identifier: '18210710507170003', uuid: '190119981011.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37109, unique_student_identifier: '18210710507170004', uuid: '915858226749.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37110, unique_student_identifier: '18210505702170077', uuid: '891847460429.0'. Details - Input Class: '8', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37124, unique_student_identifier: '18210707204180005', uuid: '943475843354.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37127, unique_student_identifier: '18210706803180003', uuid: '138426137285.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37142, unique_student_identifier: '18210724901180007', uuid: '986997635091.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37156, unique_student_identifier: '18210724901180028', uuid: '481355629378.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37157, unique_student_identifier: '18210724901180029', uuid: '920722729452.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37163, unique_student_identifier: '18210724901180037', uuid: '831898555003.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37188, unique_student_identifier: '18210708305180010', uuid: '303579980790.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37196, unique_student_identifier: '18210708505180015', uuid: '279733566827.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37198, unique_student_identifier: '18210705101180002', uuid: '166750901533.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37199, unique_student_identifier: '18210705101180003', uuid: '30183595633.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37202, unique_student_identifier: '18210705101180008', uuid: '821087457073.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
